picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : yes
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
0.000059 0.000000 0.028918 -36.406666 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -48.611900 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -60.075001 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -72.670158 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -85.714394 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -97.227661 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -107.215889 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -116.354698 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -126.026176 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -136.567093 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -145.775986 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -153.902618 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -161.511703 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -168.769333 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -175.009613 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -176.566727 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -175.456635 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -173.672333 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -171.240128 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -168.205475 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -164.705002 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -160.102539 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -155.353836 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -153.040695 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -153.641846 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -155.913712 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -158.692459 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -159.048309 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -160.201462 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -160.503311 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -158.193939 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -156.196838 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -153.572525 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -151.184708 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -150.177902 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -151.761826 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -155.175446 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -160.220291 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -164.388718 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -168.491180 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -170.531387 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -169.392776 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -166.258286 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -162.876007 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -158.144333 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -153.173447 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -150.102432 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -148.108139 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -146.064499 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -143.875565 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -139.970383 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -134.674545 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -126.732239 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -117.285545 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -107.000916 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -97.157562 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -88.769440 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -82.104439 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -77.481430 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -73.591866 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -70.663895 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -66.898628 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -63.323830 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -57.938953 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -51.311085 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -43.198761 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -35.369923 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -28.130621 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -22.459044 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -18.047239 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -15.772424 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -14.628930 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -12.094959 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -8.941587 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -7.348367 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -5.959661 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -5.764464 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -3.442868 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.646231 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.504414 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -1.798404 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -1.365281 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 0.002117 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 0.069412 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.461349 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.977378 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -1.376911 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -1.279135 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.844084 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.512243 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.028918 -0.102970 0.000000, 0.000000 -0.000119
0.000059 0.000000 0.086754 0.231005 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.274135 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.435886 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.777990 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.643518 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.573737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.522474 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.235444 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.190295 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.350647 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.320007 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.277782 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.175105 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.234827 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.134403 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.162103 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.163223 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.204563 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.334350 0.000000, -0.000119 -0.000237
