picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : yes
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.454326 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.456737 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
0.000059 0.000000 0.086754 0.458867 0.000000, -0.000119 -0.000237
